id;reg_num;expiration;mark;type;manufacturer;owner;group_name;how_to_use;atx_code;name;condition
77;DV/M 03795/04/21;09.04.2026;Хлоргексидина биглюконат;Раствор;ООО Pharmacom Medicine Узбекистан;ООО Pharmacom Medicine Узбекистан;Антисептическое средство;Для наружного применения;;;Без рецепта
78;DV/M 03979/11/21;30.11.2026;Бетайодин;Раствор;ООО Pharmacom Medicine Узбекистан;ООО Pharmacom Medicine Узбекистан;Антисептическое и дезинфицирующее средство;Внутрь;D08AG02;Повидон-йод;Без рецепта
79;DV/X 09317/09/21;10.09.2026;Элюдрил Gé;Раствор для полоскания полости рта;Pierre Fabre Medicament Production Франция;Pierre Fabre Medicament Production Франция;Антиинфекционные и антисептические препараты для местного лечения заболаваний полости рта;Местное;A01AB11;Прочие препараты;Без рецепта
80;DV/X 09303/09/21;10.09.2026;Новэкс;Таблетки для рассасывания;Pvt. Ltd. Herbion Pakistan Пакистан;Pvt. Ltd. Herbion Pakistan Пакистан;Препараты для лечения заболеваний горла. Антисептика. Прочие препараты;Внутрь;R02AA20;Прочие антисептики;Без рецепта
81;DV/X 09596/12/21;28.12.2026;Тоедин;Мазь для наружного применения;Pvt. Ltd. Nanz Med Science Pharma Индия;VEGAPHARM LIFE SCIENCES Pvt. Ltd. Индия;Дерматотропные средства. Антисептики и дезинфицирующие препараты.;Для наружного применения;D08AG02;Повидон-йод;Без рецепта
82;DV/X 09539/12/21;23.12.2026;Тоедин;Раствор для местного и наружного применения;Pvt. Ltd. Nanz Med Science Pharma Индия;VEGAPHARM LIFE SCIENCES Pvt. Ltd. Индия;Дерматотропные средства. Антисептики и дезинфицирующие препараты.;для наружного и местного применения;D08AG02;Повидон-йод;Без рецепта
83;DV/X 09577/12/21;23.12.2026;Ингалипт;Аэрозоль;АО Стома Украина;ООО УКРФАРМЭКСПОРТ Украина;Средства, действующие на респираторную систему. Препараты, применяемые при заболеваниях горла. Антисептики;;R02AA20;Прочие антисептики;Без рецепта
84;DV/X 03122/06/17/1;20.09.2027;Кандид-B6;Таблетки вагинальные;Glenmark Pharmaceuticals LTD Индия;Glenmark Pharmaceuticals LTD Индия;Антисептики и противомикробные препараты для лечения гинекологических заболеваний. Производные имидазола. Клотримазол;Влагалищное;D01AC01;Клотримазол;Без рецепта
85;DV/M 03923/10/21;11.10.2026;Люголя раствор с глицерином;Раствор;ЧП Ko'hna Beshrabot Узбекистан;ЧП Ko'hna Beshrabot Узбекистан;Антисептическое средство;внутрь, местно и наружно;D04AB;Местные анестетики для наружного применения;Без рецепта
86;DV/M 03928/10/21;11.10.2026;Водорода перекиси;Раствор;"ООО ""MEDFLORA"" Узбекистан";"ООО ""MEDFLORA"" Узбекистан";Антисептическое средство;Для наружного применения;D08AX01;Водорода пероксид;Без рецепта
87;DV/M 04026/12/21;28.12.2026;Водорода перекиси;Раствор;ООО AFROSIYOBFARM MCHJ Узбекистан;ООО AFROSIYOBFARM MCHJ Узбекистан;Антисептическое средство;Для наружного применения;D08AX01;Водорода пероксид;Без рецепта
88;DV/M 04031/02/22;14.02.2027;Йод;Раствор спиртовой;ЧП Biomed Pharmsanoat Узбекистан;ЧП Biomed Pharmsanoat Узбекистан;Антисептическое средство;внутрь, местно и наружно;D08AG03;Йод;Без рецепта
89;DV/M 04121/05/22;Бессрочно;АНЗИБЕЛ®;спрей;ИП ООО NOBEL PHARMSANOAT MCHJ Узбекистан;ИП ООО NOBEL PHARMSANOAT MCHJ Узбекистан;Антисептическое средство;Местное;A01AD;Другие препараты для местного лечения заболеваний полости рта;Без рецепта
90;DV/M 04143/06/2022;16.06.2027;Борная мазь;Мазь для наружного применения;СП ООО Jurabek Laboratories Узбекистан;СП ООО Jurabek Laboratories Узбекистан;Антисептическое средство;для наружного и местного применения;D08AD;;Без рецепта
91;DV/X 09914/06/22;16.06.2027;ЛИНИМЕНТ БАЛЬЗАМИЧЕСКИЙ ПО ВИШНЕВСКОМУ;Линимент для наружного применения;АО Усолье-Сибирский химфармзавод Российская Федерация;АО Усолье-Сибирский химфармзавод Российская Федерация;Антисептическое средство;Для наружного применения;D08AX;Другие антисептики и дезинфицирующие средства;Без рецепта
92;DV/X 09793/04/22;13.04.2027;БЕНЗИЛОР;Таблетки для рассасывания;S.L. Laboratorios Alkala Farma Испания;GM Pharmaceuticals LTD Грузия;Антисептическое средство;Внутрь;R02AA;Антисептики;Без рецепта
93;DV/M 04257/09/22;20.09.2027;Повидон-йод;Раствор;ООО Radiks Узбекистан;ООО Radiks Узбекистан;Антисептическое средство;Для наружного применения;D08AG02;Повидон-йод;Без рецепта
94;DV/M 03751/03/21;01.03.2026;Фурацилин-АК;Таблетки;ООО AS-KAM PHARMA Узбекистан;ООО AS-KAM PHARMA Узбекистан;Антисептическое средство;для наружного и местного применения;D08AF01;Нитрофурал;Без рецепта
95;DV/M 04215/08/22;16.08.2027;ИХТИОЛ;Мазь;ЧП Ziyo Nur Farm Узбекистан;ЧП Ziyo Nur Farm Узбекистан;Антисептическое средство;для наружного и местного применения;D10BX01;Ихтаммол;Без рецепта
96;DV/M 03782/04/21;09.04.2026;Спирт этиловый медицинский 70%;Раствор;ЧП Ra'no diagnostika va davolash markazi Узбекистан;ЧП Ra'no diagnostika va davolash markazi Узбекистан;Антисептическое средство;Накожное введение (наружное);D08AX;Другие антисептики и дезинфицирующие средства;Без рецепта
97;DV/M 04199/08/22;02.08.2027;Бриллиантовый зеленый;Раствор спиртовой;ООО Galenika Узбекистан;ООО Galenika Узбекистан;Антисептическое и дезинфицирующее средство;Местное;D08AX;Другие антисептики и дезинфицирующие средства;Без рецепта
98;DV/M 04317/11/22;30.11.2027;Ларинганол;Таблетки;ЧП Ziyo Nur Farm Узбекистан;ЧП Ziyo Nur Farm Узбекистан;Препараты для лечения заболеваний горла. Антисептика. Прочие препараты;Внутрь;R02AA;Антисептики;Без рецепта
99;DV/X 10275/11/22;30.11.2027;Зотт;Таблетки для рассасывания;Unique Pharmaceutical Laboratories (A.Division of J.B. Chemicals & Pharmaceuticals Limited) LTD Индия;Unique Pharmaceutical Laboratories (A.Division of J.B. Chemicals & Pharmaceuticals Limited) LTD Индия;Антисептическое средство;Перорально;R02AA20;Прочие антисептики;Без рецепта
100;DV/X 04010/02/18/1;14.07.2028;БЕТАДИН®;Мазь для наружного применения;ЗАО Фармацевтический завод ЭГИС Венгрия;Egis Pharmaceuticals PLC Венгрия;Антисептическое и дезинфицирующее средство;Местное;D08AG02;Повидон-йод;Без рецепта
101;DV/M 03722/02/21;12.02.2026;Салициловая кислота;Раствор спиртовой;ЧП Biomed Pharmsanoat Узбекистан;ЧП Biomed Pharmsanoat Узбекистан;Антисептическое и дезинфицирующее средство;Накожное введение (наружное);D01AE12;Салициловая кислота;Без рецепта
102;DV/X 04720/07/18;13.08.2030;ЛОРСЕПТ;Таблетки для рассасывания;ООО Рубикон Беларусь;ООО Рубикон Беларусь;Средства для лечения заболеваний гортани и глотки. Антисептические средства;Местное;R02AA06;Цетилпиридиния хлорид;Без рецепта
103;DV/M 04443/05/23;18.05.2028;Алузан;Порошок для приготовления раствора;ООО Aton Узбекистан;ООО Aton Узбекистан;Антисептическое и дезинфицирующее средство;;D06BX;Другие противомикробные препараты;Без рецепта
104;DV/X 10724/08/24;07.08.2029;Дателин;Крем для наружного применения;World Medicine Ilac San. ve Tic.1 A.S. Турция;World Medicine Ilac San. ve Tic.1 A.S. Турция;Антисептики и дезинфицирующие препараты. Бигуаниды и амидины. Хлоргексидин в комбинации с другими препаратами;Для наружного применения;D08AC52;Хлоргексидин в комбинации со средствами;Без рецепта
105;DV/X 10817/12/24;20.12.2029;ПАФЕСАН;Таблетки для рассасывания;World Medicine Ilac San. ve Tic. A.S. Турция;World Medicine Ilac San. ve Tic. A.S. Турция;Препараты для лечения заболеваний горла. Антисептика. Прочие антисептики;Местное;R02AA20;Прочие антисептики;Без рецепта
106;DV/X 10900/04/25;05.04.2030;КАНДИВАГ ФРЕШ;Спрей вагинальный;Avantika Medex Pvt. Ltd. Индия;Avantika Medex Pvt. Ltd. Индия;Противомикробные препараты и антисептики применяемые в гинекологии. Противомикробные препараты и антисептики, кроме комбинаций с кортикостероидами. Другие противомикробные препараты и антисептики;интравагинально;G01AX;Другие противомикробные препараты и антисептики;Без рецепта
107;DV/M 02044/03/18;11.08.2028;ЛИНИМЕНТ БАЛЬЗАМИЧЕСКИЙ ПО ВИШНЕВСКОМУ;Линимент;ООО Radiks Узбекистан;ООО Radiks Узбекистан;Антисептическое средство;Накожное введение (наружное);D08AX;Другие антисептики и дезинфицирующие средства;Без рецепта
108;DV/X 04633/07/18;31.10.2029;БЕПАНТЕН® ПЛЮС;Крем для наружного применения;GmbH GP Grenzach Produktions Германия;AG Bayer Consumer Care Швейцария;Антисептические и дезинфицирующие средства. Бигуаниды и амидины. Хлоргексидин в комбинации с другими препаратами;Накожное введение (наружное);D08AC52;Хлоргексидин в комбинации со средствами;Без рецепта
109;DV/X/TO 10465/06/23;08.06.2028;БЕТАДИН®;Раствор дезинфицирующий для наружного применения;ЗАО Фармацевтический завод ЭГИС Венгрия;Egis Pharmaceuticals Венгрия;Антисептики и дезинфицирующие препараты. Препараты йода, повидон-йод;Накожное введение (наружное);;;Без рецепта
110;DV/X 01776/06/16;16.07.2026;СЕПТОЛЕТЕ® ТОТАЛ ЭВКАЛИПТ;Пастилки;KRKA, d.d., Novo mesto' Словения;KRKA, d.d., Novo mesto Словения;Средство для лечения заболеваний ЛОР-органов. Нестероидный противовоспалительный препарат + антисептическое средство.;Внутрь;R02AA20;Прочие антисептики;Без рецепта
111;DV/M 00980/08/16;05.11.2026;САЛИЦИЛОВАЯ КИСЛОТА;Раствор спиртовой;ООО Lafz Узбекистан;ООО Lafz Узбекистан;Антисептическое средство;Накожное введение (наружное);D01AE12;Салициловая кислота;Без рецепта
112;DV/X 06115/04/19;28.03.2030;ГРАММИДИН®;Спрей для местного применения дозированный;B.V. Delpharm Bladel Нидерланды;АО Валента Фарм Российская Федерация;Антибиотик+антисептическое средство;Местное;R02AA20;Прочие антисептики;Без рецепта
113;DV/M 04797/02/25;15.02.2030;Перекись водорода-BF;Раствор;ООО Begzod-Farrux Узбекистан;ООО Begzod-Farrux Узбекистан;Антисептическое и дезинфицирующее средство;Для наружного применения;D08AX01;Водорода пероксид;Без рецепта
114;DV/M 04920/04/25;Бессрочно;ИХТИОЛ;Суппозитории ректальные;ООО Dentafill Plyus2 Узбекистан;ООО Dentafill Plyus Узбекистан;Антисептическое и противовоспалительное средство;Ректальное;D10BX01;Ихтаммол;Без рецепта
115;DV/M 04857/03/25;Бессрочно;ЛИНИМЕНТ БАЛЬЗАМИЧЕСКИЙ ПО ВИШНЕВСКОМУ;Линимент;ООО Dentafill Plyus Узбекистан;ООО Dentafill Plyus Узбекистан;Антисептические и дезинфицирующие средства.;Для наружного применения;D08AX;Другие антисептики и дезинфицирующие средства;Без рецепта
116;DV/X 04078/02/18/1;29.11.2029;АНГАЛ® ЛИМОН;Пастилки;Lek d.d. Словения;Lek d.d. Словения;Лекарственные препараты воздействующие на горло, антисептики;для рассасывания в полости рта;R02A;Препараты для лечения заболеваний горла;Без рецепта
117;DV/M 05086/08/25;Бессрочно;Д. АНГИСЕПТ;Таблетки;ООО Dentafill Plyus2 Узбекистан;ООО Dentafill Plyus Узбекистан;Препараты для лечения заболеваний горла. Антисептики. Прочие антисептики;Перорально;R02A;Препараты для лечения заболеваний горла;Без рецепта
118;DV/M 04017/12/21;23.12.2026;Лорбенин®;Раствор;ООО Pharmacom Medicine Узбекистан;ООО Pharmacom Medicine Узбекистан;прочие препараты для лечения заболеваний полости рта. Противовоспалительное и антисептическое средство;Местное;;;Без рецепта
