id;reg_num;expiration;mark;type;manufacturer;owner;group_name;how_to_use;atx_code;name;condition
7;DV/X 04150/03/18;28.06.2029;МИРАМИСТИН®;Раствор для наружного применения;"ЧАО ""Фармацевтическая фирма ""Дарница"" Украина";"ЧАО ""Фармацевтическая фирма ""Дарница"" Украина";Антисептическое и дезинфицирующее средство;Местное;D08AJ;Четвертичные аммониевые соединения;Без рецепта
8;DV/M 00904/07/16;18.08.2026;САЛИЦИЛОВАЯ КИСЛОТА;Раствор спиртовой;ЧП Ziyo Nur Farm Узбекистан;ЧП Ziyo Nur Farm Узбекистан;Антисептическое средство;Накожное введение (наружное);D01AE12;Салициловая кислота;Без рецепта
9;DV/M 00807/05/16;15.06.2026;СПИРТ ЭТИЛОВЫЙ МЕДИЦИНСКИЙ 70%;Жидкость для наружного применения;ООО MEDICAL MAX PHARM Узбекистан;ООО MEDICAL MAX PHARM Узбекистан;Антисептическое и дезинфицирующее средство;Накожное введение (наружное);D08AX08;Этанол;Без рецепта
10;DV/X 06140/05/19;31.01.2030;Декасан®;Раствор;ООО Юрия-Фарм Украина;ООО Юрия-Фарм Украина;Препараты, применяемые в дерматологии. Антисептики и дезинфицирующие препараты. Четвертичные аммониевые соединения. Декаметоксин;Наружный, ингаляционный, вагинальный;D08AJ10;Декаметоксин;Без рецепта
11;DV/M 01516/05/17;19.07.2027;КАЛЕНДУЛЫ НАСТОЙКА;Настойка;ЧП Ziyo Nur Farm Узбекистан;ЧП Ziyo Nur Farm Узбекистан;Антисептическое и противовоспалительное средство растительного происхождения;для наружного и внутреннего применении;R02AA;Антисептики;Без рецепта
12;DV/M 01819/09/17;29.11.2027;БОРНАЯ КИСЛОТА;Раствор для наружного применения;ООО Mediofarm Узбекистан;ООО Mediofarm Узбекистан;Антисептическое и дезинфицирующее средство;Местное;S02AA03;Борная кислота;Без рецепта
13;DV/M 02105/05/18;Бессрочно;ГЕКСИДИН SD;Суппозитории вагинальные;ООО Sharq Darmon Узбекистан;ООО Sharq Darmon Узбекистан;Противомикробные средства и антисептики, применяемые в гинекологии. Противомикробные средства и антисептики, кроме комбинаций с кортикостероидами. Другие противомикробные средства и антисептики;Влагалищное;D08AC02;Хлоргексидин;Без рецепта
14;DV/X 04009/02/18;14.07.2028;БЕТАДИН®;Суппозитории вагинальные;ЗАО Фармацевтический завод ЭГИС Венгрия;Egis Pharmaceuticals PLC Венгрия;Антисептики и противомикробные препараты для лечения гинекологических заболеваний (исключая комбинации с кортикостероидами). Прочие антисептики и противомикробные препараты для лечения гинекологических заболеваний;Местное;D08AG02;Повидон-йод;Без рецепта
15;DV/M 02710/08/19;13.08.2029;ПЕРЕКИСЬ ВОДОРОДА РАСТВОР 3%;Раствор;ООО Dentafill Plyus Узбекистан;ООО Dentafill Plyus Узбекистан;Антисептическое и дезинфицирующее средство;Накожное введение (наружное);D08AX01;Водорода пероксид;Без рецепта
16;DV/M 01762/08/17;Бессрочно;СПИРТ ЭТИЛОВЫЙ МЕДИЦИНСКИЙ 70%;Жидкость для наружного применения;ООО Radiks Узбекистан;ООО Radiks Узбекистан;Антисептическое и дезинфицирующее средство;Накожное введение (наружное);D08AX;Другие антисептики и дезинфицирующие средства;Без рецепта
17;DV/X 05726/02/19;19.05.2030;ПОВИДОН-ЙОДИН;Суппозитории вагинальные;ООО Фармаприм Республика Молдова;ООО Фармаприм Республика Молдова;Противомикробные и антисептические средства, применяемые в гинекологии (за исключением комбинированных препаратов, содержащих кортикостероиды). Другие противомикробные и антисептические средства.;Вагинально;G01AX11;Повидон-йод;Без рецепта
18;DV/M 00677/03/16;19.03.2026;СПИРТ ЭТИЛОВЫЙ МЕДИЦИНСКИЙ;Раствор для местного и наружного применения;ООО Lekinterkaps Узбекистан;ООО Lekinterkaps Узбекистан;Антисептическое средство;Накожное введение (наружное);D08AX08;Этанол;Без рецепта
19;DV/M 03001/02/20;Бессрочно;БОРНАЯ КИСЛОТА;Раствор спиртовой;ООО radiks Узбекистан;ООО Radiks Узбекистан;Препараты для лечения заболеваний кожи. Антисептики и дезинфицирующие препараты. Препараты борной кислоты;Накожное введение (наружное);D08AD;;Без рецепта
20;DV/M 01120/11/16;14.02.2027;БРИЛЛИАНТОВЫЙ ЗЕЛЕНЫЙ;Раствор спиртовой;ООО Lafz Узбекистан;ООО Lafz Узбекистан;Антисептическое и дезинфицирующее средство;Местное;D08AX;Другие антисептики и дезинфицирующие средства;Без рецепта
21;DV/M 00146/05/15;Бессрочно;ИХТИОЛОВАЯ-MR;Мазь;ООО Merrymed Farm Узбекистан;ООО Merrymed Farm Узбекистан;Антисептическое средство;Накожное введение (наружное);D10BX01;Ихтаммол;Без рецепта
22;DV/M 02481/03/19;01.03.2030;СЕПТУМ;Раствор для наружного применения;СП ООО Jurabek Laboratories Узбекистан;СП ООО Jurabek Laboratories Узбекистан;Антисептическое средство;Накожное введение (наружное);D08AC02;Хлоргексидин;Без рецепта
23;DV/M 00016/01/15;27.08.2029;ИХТИОЛ;Мазь;ООО Dentafill Plyus2 Узбекистан;ООО Dentafill Plyus2 Узбекистан;Антибиотик+антисептическое средство;;D10BX01;Ихтаммол;Без рецепта
24;DV/M 00306/09/15;21.01.2026;ЛИНИМЕНТ БАЛЬЗАМИЧЕСКИЙ ПО ВИШНЕВСКОМУ;Линимент;СП ООО REMEDY Узбекистан;СП ООО REMEDY Узбекистан;Антисептическое средство;Накожное введение (наружное);D08AX;Другие антисептики и дезинфицирующие средства;Без рецепта
25;DV/M 00314/09/15;29.12.2025;ЛЮГОЛЯ РАСТВОР С ГЛИЦЕРИНОМ;Раствор;"СП ООО Узбекско-Британское ""REMEDY"" Узбекистан";"СП ООО Узбекско-Британское ""REMEDY"" Узбекистан";Антисептическое средство;для наружного и внутреннего применении;D08A;Антисептики и дезинфицирующие средства;Без рецепта
26;DV/M 00311/09/15;29.12.2025;БОРОМЕНТОЛ;Мазь;"СП ООО Узбекско-Британское ""REMEDY"" Узбекистан";СП ООО Remedy Group Узбекистан;Антисептическое средство;Накожное введение (наружное);D08AX;Другие антисептики и дезинфицирующие средства;Без рецепта
27;DV/X 01737/05/16;15.06.2026;ЛИНИМЕНТ БАЛЬЗАМИЧЕСКИЙ ПО ВИШНЕВСКОМУ;Линимент;ПАО НПЦ Борщаговский ХФЗ Украина;ПАО НПЦ Борщаговский ХФЗ Украина;Антисептическое средство;Накожное введение (наружное);D08AX;Другие антисептики и дезинфицирующие средства;Без рецепта
28;DV/X 01677/05/16;15.06.2026;ЛИНИМЕНТ БАЛЬЗАМИЧЕСКИЙ ПО ВИШНЕВСКОМУ;Линимент;"Открытое акционерное общество ""Борисовский завод медицинских препаратов"" Республика Беларусь";"Открытое акционерное общество ""Борисовский завод медицинских препаратов"" Республика Беларусь";Антисептическое средство;Накожное введение (наружное);D08AX;Другие антисептики и дезинфицирующие средства;Без рецепта
29;DV/X 06678/08/19;05.04.2030;ГРАММИДИН®ДЕТСКИЙ;Таблетки для рассасывания;АО Валента Фарм Российская Федерация;АО Валента Фарм Российская Федерация;Антибиотик+антисептическое средство;Внутрь;R02AB30;Грамицидин;Без рецепта
30;DV/M 00056/03/15;Бессрочно;КЛОТРИМАЗОЛ;Суппозитории вагинальные;ООО Dentafill Plyus Узбекистан;DENTAFILL PLYUS MCHJ;Антисептическое и противомикробное средство;Вагинально;D01AC01;Клотримазол;Без рецепта
31;DV/X 03537/09/17;02.08.2027;Цитеал®;Раствор для наружного применения;Pierre Fabre Medicament Production Франция;Pierre Fabre Medicament Production Франция;Антисептическое средство;Для наружного применения;D08AC52;Хлоргексидин в комбинации со средствами;Без рецепта
32;DV/X 03910/01/18;21.12.2027;ЛИЗОБАКТ®;Таблетки для рассасывания;JSC Bosnalijek Босния и Герцеговина;JSC Bosnalijek Босния и Герцеговина;препараты для лечения заболеваний горла. антисептическое средство;Внутрь;R02AA20;Прочие антисептики;Без рецепта
33;DV/X 02952/05/17;13.05.2027;ПАФЕСАН;Спрей для горла;World Medicine Ilac San. ve Tic. A.S. Турция;World Medicine Ilac San. ve Tic. A.S. Турция;Антисептическое средство;Внутрь;R02AA20;Прочие антисептики;Без рецепта
34;DV/X 04209/03/18;20.12.2029;ДЕБАРА-ВМ;Спрей для слизистой оболочки полости рта и горла;World Medicine Ilac San. ve Tic. A.S. Турция;World Medicine İlaç San. ve Tic. A.Ş Турция;Средства, действующие на респираторную систему. Препараты, применяемые при заболеваниях горла. Антисептики;Местное;R02AA02;Деквалиния хлорид;Без рецепта
